gene,start,stop
helix-turn-helix transcriptional regulator,369222.0,370637.0
LysR family transcriptional regulator,44664.0,45029.0
helix-turn-helix domain-containing protein,315910.0,316404.0
efflux transporter outer membrane subunit,155470.0,156954.0
